MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
8.3252,41.0,0.17034456058846303,1.0238095238095235,322.0,2.555555555555556,37.88,-122.23,4.526
8.3014,21.0,0.2970541467905264,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,3.585
7.2574,52.0,0.15938722294654498,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.521
5.6431,52.0,0.11187214611872147,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,3.413
3.8462,52.0,0.1208048708048708,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,3.422
4.0368,52.0,0.0915703467516939,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697
3.6591,52.0,0.0948443579766537,0.95136186770428,1094.0,2.1284046692607004,37.84,-122.25,2.992
3.12,52.0,0.09226013553679706,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414
2.0804,42.0,0.10224089635854341,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267
3.6912,52.0,0.09558823529411765,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,2.611
3.2031,52.0,0.10533869115958668,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815
3.2705,52.0,0.09177845315447496,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418
3.075,52.0,0.10235864562787639,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135
2.6736,52.0,0.07692307692307693,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913
1.9167,52.0,0.08197890818858561,1.0096774193548388,1212.0,1.9548387096774196,37.85,-122.26,1.592
2.125,50.0,0.08484848484848484,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4
2.775,52.0,0.11422263537067162,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,1.525
2.1202,52.0,0.07793856308707793,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555
1.9911,50.0,0.10687350835322196,1.0859188544152745,990.0,2.362768496420048,37.84,-122.26,1.587
2.6033,52.0,0.10510489510489511,1.0836363636363635,690.0,2.5090909090909093,37.84,-122.27,1.629
1.3578,40.0,0.11310240963855422,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475
1.7135,42.0,0.1066224303929222,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598
